Input Files Path : ./benchmarks/MKG-Y/
The toolkit is importing datasets.
Test Head: 13444 1 5321 438

Test Tail: 13444 1 5321 43

Test Head: 13481 1 82 0

Test Tail: 13481 1 82 0

Test Head: 13546 1 3 0

Test Tail: 13546 1 3 0

Test Head: 13640 1 1485 0

Test Tail: 13640 1 1485 0

Test Head: 13647 1 1383 0

Test Tail: 13647 1 1383 0

Test Head: 13674 1 4387 0

Test Tail: 13674 1 4387 0

Test Head: 13690 1 3944 0

Test Tail: 13690 1 3944 0

Test Head: 13690 1 7562 0

Test Tail: 13690 1 7562 0

Test Head: 13693 1 6821 0

Test Tail: 13693 1 6821 0

Test Head: 13980 1 9640 0

Test Tail: 13980 1 9640 0

Test Head: 14024 1 5776 1032

Test Tail: 14024 1 5776 124

Test Head: 14050 1 8634 0

Test Tail: 14050 1 8634 0

Test Head: 14088 1 1526 0

Test Tail: 14088 1 1526 0

Test Head: 14179 1 8474 1018

Test Tail: 14179 1 8474 290

Test Head: 14253 1 7472 0

Test Tail: 14253 1 7472 0

Test Head: 14298 1 4883 8

Test Tail: 14298 1 4883 1

Test Head: 14313 1 3432 0

Test Tail: 14313 1 3432 0

Test Head: 14333 1 433 0

Test Tail: 14333 1 433 0

Test Head: 14366 1 2713 0

Test Tail: 14366 1 2713 0

Test Head: 14439 1 5032 12019

Test Tail: 14439 1 5032 543

Test Head: 14507 1 5486 5324

Test Tail: 14507 1 5486 228

Test Head: 14641 1 10621 12470

Test Tail: 14641 1 10621 2345

Test Head: 14685 1 363 10774

Test Tail: 14685 1 363 13

Test Head: 14732 1 337 11376

Test Tail: 14732 1 337 297

Test Head: 14767 1 1124 1154

Test Tail: 14767 1 1124 29

Test Head: 14801 1 1565 12925

Test Tail: 14801 1 1565 103

Test Head: 14803 1 4111 14793

Test Tail: 14803 1 4111 8094

Test Head: 14822 1 7677 10946

Test Tail: 14822 1 7677 841

Test Head: 14851 1 5486 6304

Test Tail: 14851 1 5486 221

Test Head: 14869 1 10793 4217

Test Tail: 14869 1 10793 55

Test Head: 14935 1 37 6065

Test Tail: 14935 1 37 1

Test Head: 32 2 3820 6

Test Tail: 32 2 3820 594

Test Head: 32 2 11226 2

Test Tail: 32 2 11226 666

Test Head: 32 2 14371 2

Test Tail: 32 2 14371 793

Test Head: 151 2 13307 128

Test Tail: 151 2 13307 2463

Test Head: 167 2 13900 48

Test Tail: 167 2 13900 2337

Test Head: 256 2 5031 10

Test Tail: 256 2 5031 465

Test Head: 274 2 2812 0

Test Tail: 274 2 2812 0

Test Head: 274 2 14644 296

Test Tail: 274 2 14644 14220

Test Head: 326 2 327 0

Test Tail: 326 2 327 2

Test Head: 326 2 5636 1

Test Tail: 326 2 5636 7

Test Head: 326 2 5823 14

Test Tail: 326 2 5823 298

Test Head: 326 2 7329 27

Test Tail: 326 2 7329 1265

Test Head: 350 2 4105 23

Test Tail: 350 2 4105 369

Test Head: 350 2 9111 3

Test Tail: 350 2 9111 371

Test Head: 446 2 11195 631

Test Tail: 446 2 11195 3161

Test Head: 473 2 12533 2

Test Tail: 473 2 12533 77

Test Head: 626 2 7009 0

Test Tail: 626 2 7009 1

Test Head: 713 2 7272 0

Test Tail: 713 2 7272 0

Test Head: 860 2 13331 28

Test Tail: 860 2 13331 1576

Test Head: 860 2 13851 51

Test Tail: 860 2 13851 2860

Test Head: 862 2 2675 1

Test Tail: 862 2 2675 4

Test Head: 862 2 10547 807

Test Tail: 862 2 10547 2193

Test Head: 862 2 13389 0

Test Tail: 862 2 13389 0

Test Head: 972 2 12902 141

Test Tail: 972 2 12902 2851

Test Head: 993 2 4918 0

Test Tail: 993 2 4918 0

Test Head: 1243 2 9904 0

Test Tail: 1243 2 9904 6

Test Head: 1252 2 7379 0

Test Tail: 1252 2 7379 8

Test Head: 1498 2 2264 7

Test Tail: 1498 2 2264 125

Test Head: 1498 2 4483 0

Test Tail: 1498 2 4483 2

Test Head: 1498 2 14902 46

Test Tail: 1498 2 14902 9454

Test Head: 1545 2 3342 111

Test Tail: 1545 2 3342 894

Test Head: 1659 2 10499 267

Test Tail: 1659 2 10499 2208

Test Head: 1659 2 14877 178

Test Tail: 1659 2 14877 8306

Test Head: 1812 2 1290 46

Test Tail: 1812 2 1290 2

Test Head: 1824 2 7407 0

Test Tail: 1824 2 7407 3

Test Head: 1935 2 14804 9792

Test Tail: 1935 2 14804 11639

Test Head: 1979 2 7685 217

Test Tail: 1979 2 7685 10079

Test Head: 2003 2 574 24

Test Tail: 2003 2 574 850

Test Head: 2003 2 5607 2

Test Tail: 2003 2 5607 41

Test Head: 2003 2 6118 13

Test Tail: 2003 2 6118 230

Test Head: 2350 2 9899 39

Test Tail: 2350 2 9899 735

Test Head: 2350 2 13843 17

Test Tail: 2350 2 13843 1106

Test Head: 2371 2 7538 2

Test Tail: 2371 2 7538 3

Test Head: 2371 2 12411 10

Test Tail: 2371 2 12411 910

Test Head: 2597 2 14966 811

Test Tail: 2597 2 14966 13537

Test Head: 2602 2 14315 2

Test Tail: 2602 2 14315 5919

Test Head: 2604 2 14817 2961

Test Tail: 2604 2 14817 11613

Test Head: 2737 2 8067 2277

Test Tail: 2737 2 8067 1516

Test Head: 2836 2 12201 152

Test Tail: 2836 2 12201 34

Test Head: 2923 2 3203 33

Test Tail: 2923 2 3203 2497

Test Head: 2992 2 9324 7

Test Tail: 2992 2 9324 113

Test Head: 3060 2 4355 20

Test Tail: 3060 2 4355 139

Test Head: 3060 2 13420 44

Test Tail: 3060 2 13420 2285

Test Head: 3160 2 6013 81

Test Tail: 3160 2 6013 859

Test Head: 3264 2 2521 0

Test Tail: 3264 2 2521 36

Test Head: 3264 2 9173 0

Test Tail: 3264 2 9173 0

Test Head: 3264 2 11089 0

Test Tail: 3264 2 11089 15

Test Head: 3381 2 4848 27

Test Tail: 3381 2 4848 683

Test Head: 3654 2 5195 43

Test Tail: 3654 2 5195 905

Test Head: 4041 2 607 1

Test Tail: 4041 2 607 64

Test Head: 4041 2 1749 0

Test Tail: 4041 2 1749 2

Test Head: 4276 2 12070 165

Test Tail: 4276 2 12070 379

Test Head: 4539 2 4540 0

Test Tail: 4539 2 4540 0

Test Head: 4733 2 4899 3

Test Tail: 4733 2 4899 40

Test Head: 4733 2 11258 12

Test Tail: 4733 2 11258 412

Test Head: 4755 2 5391 0

Test Tail: 4755 2 5391 1

Test Head: 4774 2 13592 284

Test Tail: 4774 2 13592 1662

Test Head: 4857 2 6957 17

Test Tail: 4857 2 6957 934

Test Head: 5317 2 14069 3

Test Tail: 5317 2 14069 27

Test Head: 5514 2 12646 28

Test Tail: 5514 2 12646 1036

Test Head: 5514 2 13524 87

Test Tail: 5514 2 13524 1311

Test Head: 5515 2 14855 9

Test Tail: 5515 2 14855 4086

Test Head: 5707 2 11591 2

Test Tail: 5707 2 11591 22

Test Head: 5719 2 5346 0

Test Tail: 5719 2 5346 126

Test Head: 5828 2 7803 2

Test Tail: 5828 2 7803 5

Test Head: 5989 2 4107 13

Test Tail: 5989 2 4107 1394

Test Head: 6036 2 13654 48

Test Tail: 6036 2 13654 497

Test Head: 6123 2 6215 905

Test Tail: 6123 2 6215 2912

Test Head: 6179 2 8387 17

Test Tail: 6179 2 8387 498

Test Head: 6314 2 8431 1

Test Tail: 6314 2 8431 0

Test Head: 6350 2 5201 2

Test Tail: 6350 2 5201 28

Test Head: 6350 2 14771 21

Test Tail: 6350 2 14771 9339

Test Head: 6493 2 7059 2

Test Tail: 6493 2 7059 2

Test Head: 6581 2 13143 345

Test Tail: 6581 2 13143 827

Test Head: 6581 2 13604 144

Test Tail: 6581 2 13604 1886

Test Head: 6843 2 6176 26

Test Tail: 6843 2 6176 82

Test Head: 6843 2 9775 464

Test Tail: 6843 2 9775 2936

Test Head: 6843 2 14837 70

Test Tail: 6843 2 14837 8221

Test Head: 6850 2 3665 0

Test Tail: 6850 2 3665 4

Test Head: 6850 2 6550 99

Test Tail: 6850 2 6550 355

Test Head: 7022 2 14337 0

Test Tail: 7022 2 14337 2

Test Head: 7301 2 7289 1

Test Tail: 7301 2 7289 5

Test Head: 7340 2 13275 4

Test Tail: 7340 2 13275 24

Test Head: 7340 2 14172 17

Test Tail: 7340 2 14172 127

Test Head: 7340 2 14534 29

Test Tail: 7340 2 14534 6655

Test Head: 7368 2 6164 11

Test Tail: 7368 2 6164 117

Test Head: 7388 2 3456 14

Test Tail: 7388 2 3456 874

Test Head: 7851 2 10808 53

Test Tail: 7851 2 10808 1308

Test Head: 7851 2 11408 30

Test Tail: 7851 2 11408 69

Test Head: 8127 2 4119 69

Test Tail: 8127 2 4119 177

Test Head: 8299 2 76 46

Test Tail: 8299 2 76 259

Test Head: 8299 2 11264 115

Test Tail: 8299 2 11264 1126

Test Head: 8374 2 13413 0

Test Tail: 8374 2 13413 2

Test Head: 8412 2 2924 0

Test Tail: 8412 2 2924 4

Test Head: 8571 2 5712 0

Test Tail: 8571 2 5712 0

Test Head: 8950 2 14400 52

Test Tail: 8950 2 14400 7685

Test Head: 9376 2 5745 0

Test Tail: 9376 2 5745 15

Test Head: 9376 2 14633 13

Test Tail: 9376 2 14633 5951

Test Head: 9396 2 14276 171

Test Tail: 9396 2 14276 2048

Test Head: 9665 2 13623 8

Test Tail: 9665 2 13623 130

Test Head: 9841 2 14804 71

Test Tail: 9841 2 14804 11661

Test Head: 10259 2 13054 1

Test Tail: 10259 2 13054 26

Test Head: 10328 2 14765 2602

Test Tail: 10328 2 14765 7040

Test Head: 10483 2 9113 1536

Test Tail: 10483 2 9113 1626

Test Head: 10942 2 2136 0

Test Tail: 10942 2 2136 0

Test Head: 10942 2 4518 40

Test Tail: 10942 2 4518 892

Test Head: 10942 2 6760 0

Test Tail: 10942 2 6760 0

Test Head: 11093 2 14802 70

Test Tail: 11093 2 14802 8284

Test Head: 11134 2 3573 10290

Test Tail: 11134 2 3573 1735

Test Head: 11151 2 12895 295

Test Tail: 11151 2 12895 442

Test Head: 11250 2 12678 153

Test Tail: 11250 2 12678 637

Test Head: 11407 2 11461 2

Test Tail: 11407 2 11461 17

Test Head: 11665 2 4427 29

Test Tail: 11665 2 4427 558

Test Head: 11671 2 7843 63

Test Tail: 11671 2 7843 767

Test Head: 12017 2 809 196

Test Tail: 12017 2 809 1352

Test Head: 12266 2 1323 474

Test Tail: 12266 2 1323 507

Test Head: 12476 2 8139 50

Test Tail: 12476 2 8139 26

Test Head: 12483 2 6923 775

Test Tail: 12483 2 6923 538

Test Head: 12483 2 6953 1

Test Tail: 12483 2 6953 6

Test Head: 12906 2 12283 500

Test Tail: 12906 2 12283 744

Test Head: 13052 2 3293 5

Test Tail: 13052 2 3293 41

Test Head: 13135 2 3585 9366

Test Tail: 13135 2 3585 7176

Test Head: 13140 2 2046 975

Test Tail: 13140 2 2046 519

Test Head: 13140 2 4743 1496

Test Tail: 13140 2 4743 1448

Test Head: 13193 2 12440 550

Test Tail: 13193 2 12440 608

Test Head: 13193 2 13032 12

Test Tail: 13193 2 13032 100

Test Head: 13193 2 13137 1221

Test Tail: 13193 2 13137 1958

Test Head: 13509 2 7464 940

Test Tail: 13509 2 7464 510

Test Head: 13772 2 9453 0

Test Tail: 13772 2 9453 2

Test Head: 14242 2 5273 0

Test Tail: 14242 2 5273 0

Test Head: 14242 2 12867 74

Test Tail: 14242 2 12867 291

Test Head: 14359 2 13790 12520

Test Tail: 14359 2 13790 12249

Test Head: 14359 2 14971 472

Test Tail: 14359 2 14971 4280

Test Head: 14636 2 10559 11583

Test Tail: 14636 2 10559 64

Test Head: 14758 2 3537 12665

Test Tail: 14758 2 3537 476

Test Head: 14758 2 10880 13273

Test Tail: 14758 2 10880 1899

Test Head: 14758 2 13871 9310

Test Tail: 14758 2 13871 160

Test Head: 14769 2 3038 4033

Test Tail: 14769 2 3038 1344

Test Head: 14769 2 9806 11386

Test Tail: 14769 2 9806 6

Test Head: 14915 2 14916 1035

Test Tail: 14915 2 14916 4527

Test Head: 14926 2 14111 5064

Test Tail: 14926 2 14111 2890

Test Head: 14967 2 12083 13415

Test Tail: 14967 2 12083 1691

Test Head: 6 3 6443 0

Test Tail: 6 3 6443 1

Test Head: 6 3 7749 0

Test Tail: 6 3 7749 39

Test Head: 12 3 13 1

Test Tail: 12 3 13 2

Test Head: 16 3 11381 0

Test Tail: 16 3 11381 0

Test Head: 30 3 14216 0

Test Tail: 30 3 14216 0

Test Head: 89 3 10625 42

Test Tail: 89 3 10625 332

Test Head: 186 3 13375 0

Test Tail: 186 3 13375 0

Test Head: 200 3 333 0

Test Tail: 200 3 333 0

Test Head: 200 3 7552 72

Test Tail: 200 3 7552 141

Test Head: 226 3 10724 2

Test Tail: 226 3 10724 83

Test Head: 279 3 13452 35

Test Tail: 279 3 13452 341

Test Head: 306 3 14842 97

Test Tail: 306 3 14842 6919

Test Head: 346 3 2339 35

Test Tail: 346 3 2339 9

Test Head: 414 3 11043 1207

Test Tail: 414 3 11043 1158

Test Head: 416 3 8655 0

Test Tail: 416 3 8655 0

Test Head: 461 3 7054 1

Test Tail: 461 3 7054 0

Test Head: 465 3 14219 4

Test Tail: 465 3 14219 35

Test Head: 483 3 3249 1

Test Tail: 483 3 3249 1

Test Head: 526 3 4149 12

Test Tail: 526 3 4149 8

Test Head: 526 3 14982 1796

Test Tail: 526 3 14982 12878

Test Head: 532 3 10553 0

Test Tail: 532 3 10553 0

Test Head: 532 3 14216 195

Test Tail: 532 3 14216 4597

Test Head: 532 3 14363 1

Test Tail: 532 3 14363 0

Test Head: 608 3 9210 14

Test Tail: 608 3 9210 776

Test Head: 608 3 14937 1075

Test Tail: 608 3 14937 12643

Test Head: 677 3 210 0

Test Tail: 677 3 210 0

Test Head: 680 3 4775 0

Test Tail: 680 3 4775 0

Test Head: 703 3 14983 157

Test Tail: 703 3 14983 12164

Test Head: 806 3 4633 0

Test Tail: 806 3 4633 0

Test Head: 806 3 11072 1

Test Tail: 806 3 11072 0

Test Head: 806 3 14397 97

Test Tail: 806 3 14397 10696

Test Head: 831 3 9381 0

Test Tail: 831 3 9381 0

Test Head: 831 3 13858 0

Test Tail: 831 3 13858 0

Test Head: 831 3 14388 104

Test Tail: 831 3 14388 13682

Test Head: 833 3 10539 0

Test Tail: 833 3 10539 0

Test Head: 857 3 2709 9

Test Tail: 857 3 2709 116

Test Head: 860 3 301 5

Test Tail: 860 3 301 82

Test Head: 871 3 5652 0

Test Tail: 871 3 5652 0

Test Head: 968 3 11975 0

Test Tail: 968 3 11975 0

Test Head: 968 3 12261 0

Test Tail: 968 3 12261 0

Test Head: 970 3 10470 0

Test Tail: 970 3 10470 0

Test Head: 1043 3 11871 0

Test Tail: 1043 3 11871 0

Test Head: 1048 3 4015 1

Test Tail: 1048 3 4015 2

Test Head: 1048 3 6731 17

Test Tail: 1048 3 6731 34

Test Head: 1077 3 12060 184

Test Tail: 1077 3 12060 2794

Test Head: 1146 3 1249 0

Test Tail: 1146 3 1249 0

Test Head: 1146 3 14472 593

Test Tail: 1146 3 14472 13672

Test Head: 1185 3 1186 0

Test Tail: 1185 3 1186 0

Test Head: 1220 3 14835 52

Test Tail: 1220 3 14835 8220

Test Head: 1247 3 9487 0

Test Tail: 1247 3 9487 3

Test Head: 1331 3 13971 414

Test Tail: 1331 3 13971 3087

Test Head: 1337 3 14847 1304

Test Tail: 1337 3 14847 13359

Test Head: 1445 3 10645 0

Test Tail: 1445 3 10645 0

Test Head: 1496 3 1588 0

Test Tail: 1496 3 1588 0

Test Head: 1507 3 4144 0

Test Tail: 1507 3 4144 0

Test Head: 1507 3 9433 0

Test Tail: 1507 3 9433 0

Test Head: 1511 3 14737 127

Test Tail: 1511 3 14737 3729

Test Head: 1545 3 10695 259

Test Tail: 1545 3 10695 4011

Test Head: 1580 3 3417 0

Test Tail: 1580 3 3417 1

Test Head: 1580 3 7137 0

Test Tail: 1580 3 7137 0

Test Head: 1587 3 6752 0

Test Tail: 1587 3 6752 2

Test Head: 1620 3 2915 0

Test Tail: 1620 3 2915 0

Test Head: 1765 3 14406 4

Test Tail: 1765 3 14406 2965

Test Head: 1830 3 12636 1

Test Tail: 1830 3 12636 8

Test Head: 1921 3 14720 508

Test Tail: 1921 3 14720 11789

Test Head: 1953 3 11556 314

Test Tail: 1953 3 11556 77

Test Head: 1956 3 9359 0

Test Tail: 1956 3 9359 0

Test Head: 2024 3 5887 171

Test Tail: 2024 3 5887 172

Test Head: 2072 3 4038 0

Test Tail: 2072 3 4038 0

Test Head: 2085 3 13652 0

Test Tail: 2085 3 13652 0

Test Head: 2096 3 4490 8

Test Tail: 2096 3 4490 35

Test Head: 2104 3 14988 10

Test Tail: 2104 3 14988 8740

Test Head: 2108 3 12263 4

Test Tail: 2108 3 12263 29

Test Head: 2110 3 14897 324

Test Tail: 2110 3 14897 10714

Test Head: 2157 3 243 1

Test Tail: 2157 3 243 10

Test Head: 2169 3 1559 1412

Test Tail: 2169 3 1559 1608

Test Head: 2169 3 8723 1632

Test Tail: 2169 3 8723 1956

Test Head: 2198 3 14959 65

Test Tail: 2198 3 14959 2676

Test Head: 2217 3 3510 0

Test Tail: 2217 3 3510 1

Test Head: 2217 3 11850 173

Test Tail: 2217 3 11850 7245

Test Head: 2217 3 12571 190

Test Tail: 2217 3 12571 7014

Test Head: 2220 3 7350 0

Test Tail: 2220 3 7350 0

Test Head: 2242 3 14346 609

Test Tail: 2242 3 14346 3014

Test Head: 2338 3 11568 1068

Test Tail: 2338 3 11568 633

Test Head: 2338 3 14790 66

Test Tail: 2338 3 14790 11015

Test Head: 2348 3 14932 138

Test Tail: 2348 3 14932 10305

Test Head: 2371 3 7538 2

Test Tail: 2371 3 7538 4

Test Head: 2443 3 11185 32

Test Tail: 2443 3 11185 4867

Test Head: 2485 3 8362 0

Test Tail: 2485 3 8362 1

Test Head: 2570 3 14495 1081

Test Tail: 2570 3 14495 8810

Test Head: 2570 3 14797 204

Test Tail: 2570 3 14797 3832

Test Head: 2574 3 2543 201

Test Tail: 2574 3 2543 523

Test Head: 2582 3 7746 3

Test Tail: 2582 3 7746 5

Test Head: 2590 3 12461 5

Test Tail: 2590 3 12461 59

Test Head: 2597 3 11401 0

Test Tail: 2597 3 11401 0

Test Head: 2654 3 10160 0

Test Tail: 2654 3 10160 0

Test Head: 2662 3 2214 3

Test Tail: 2662 3 2214 0

Test Head: 2668 3 3488 0

Test Tail: 2668 3 3488 0

Test Head: 2888 3 9819 0

Test Tail: 2888 3 9819 1

Test Head: 2901 3 2214 16

Test Tail: 2901 3 2214 27

Test Head: 2901 3 14976 3

Test Tail: 2901 3 14976 5366

Test Head: 2903 3 2524 7440

Test Tail: 2903 3 2524 728

Test Head: 2917 3 5728 20

Test Tail: 2917 3 5728 73

Test Head: 2938 3 14881 1203

Test Tail: 2938 3 14881 12859

Test Head: 2946 3 4716 373

Test Tail: 2946 3 4716 376

Test Head: 2974 3 4811 2243

Test Tail: 2974 3 4811 2438

Test Head: 3068 3 9026 13

Test Tail: 3068 3 9026 29

Test Head: 3152 3 12034 6

Test Tail: 3152 3 12034 108

Test Head: 3183 3 14417 32

Test Tail: 3183 3 14417 10930

Test Head: 3192 3 14860 1784

Test Tail: 3192 3 14860 13264

Test Head: 3206 3 7071 0

Test Tail: 3206 3 7071 0

Test Head: 3219 3 6294 2

Test Tail: 3219 3 6294 9

Test Head: 3367 3 12217 1

Test Tail: 3367 3 12217 2

Test Head: 3379 3 11226 134

Test Tail: 3379 3 11226 1606

Test Head: 3388 3 14463 2815

Test Tail: 3388 3 14463 9428

Test Head: 3416 3 14397 188

Test Tail: 3416 3 14397 10424

Test Head: 3538 3 11989 0

Test Tail: 3538 3 11989 0

Test Head: 3538 3 13657 0

Test Tail: 3538 3 13657 0

Test Head: 3567 3 4665 0

Test Tail: 3567 3 4665 0

Test Head: 3598 3 9435 10

Test Tail: 3598 3 9435 70

Test Head: 3673 3 1742 1

Test Tail: 3673 3 1742 2

Test Head: 3673 3 13604 10

Test Tail: 3673 3 13604 1011

Test Head: 3796 3 7338 2

Test Tail: 3796 3 7338 0

Test Head: 3819 3 12225 13

Test Tail: 3819 3 12225 150

Test Head: 3925 3 13016 0

Test Tail: 3925 3 13016 0

Test Head: 4011 3 6915 0

Test Tail: 4011 3 6915 0

Test Head: 4112 3 14551 141

Test Tail: 4112 3 14551 4624

Test Head: 4138 3 2577 0

Test Tail: 4138 3 2577 2

Test Head: 4244 3 9025 5

Test Tail: 4244 3 9025 7

Test Head: 4261 3 9381 1

Test Tail: 4261 3 9381 17

Test Head: 4261 3 9744 0

Test Tail: 4261 3 9744 0

Test Head: 4261 3 12569 1

Test Tail: 4261 3 12569 0

Test Head: 4261 3 14721 5

Test Tail: 4261 3 14721 8306

Test Head: 4271 3 10286 2

Test Tail: 4271 3 10286 0

Test Head: 4276 3 3093 1

Test Tail: 4276 3 3093 1

Test Head: 4316 3 14640 775

Test Tail: 4316 3 14640 11171

Test Head: 4361 3 12184 80

Test Tail: 4361 3 12184 952

Test Head: 4424 3 14807 276

Test Tail: 4424 3 14807 10762

Test Head: 4430 3 7728 309

Test Tail: 4430 3 7728 1557

Test Head: 4440 3 14218 72

Test Tail: 4440 3 14218 679

Test Head: 4453 3 10306 1855

Test Tail: 4453 3 10306 4623

Test Head: 4486 3 4487 0

Test Tail: 4486 3 4487 0

Test Head: 4535 3 7149 0

Test Tail: 4535 3 7149 0

Test Head: 4539 3 4540 0

Test Tail: 4539 3 4540 0

Test Head: 4632 3 3417 0

Test Tail: 4632 3 3417 0

Test Head: 4632 3 14397 177

Test Tail: 4632 3 14397 10376

Test Head: 4656 3 8927 1

Test Tail: 4656 3 8927 1

Test Head: 4663 3 11773 6

Test Tail: 4663 3 11773 53

Test Head: 4664 3 7281 0

Test Tail: 4664 3 7281 0

Test Head: 4664 3 7625 0

Test Tail: 4664 3 7625 0

Test Head: 4671 3 5390 0

Test Tail: 4671 3 5390 1

Test Head: 4739 3 1421 0

Test Tail: 4739 3 1421 0

Test Head: 4751 3 5029 1

Test Tail: 4751 3 5029 0

Test Head: 4770 3 5278 1

Test Tail: 4770 3 5278 0

Test Head: 4855 3 11530 0

Test Tail: 4855 3 11530 0

Test Head: 4900 3 7469 14

Test Tail: 4900 3 7469 70

Test Head: 4900 3 9932 14

Test Tail: 4900 3 9932 68

Test Head: 4932 3 6543 431

Test Tail: 4932 3 6543 185

Test Head: 4948 3 7880 0

Test Tail: 4948 3 7880 0

Test Head: 4948 3 13830 0

Test Tail: 4948 3 13830 0

Test Head: 4950 3 4951 0

Test Tail: 4950 3 4951 0

Test Head: 4959 3 12173 1329

Test Tail: 4959 3 12173 447

Test Head: 5040 3 12074 0

Test Tail: 5040 3 12074 0

Test Head: 5079 3 460 0

Test Tail: 5079 3 460 0

Test Head: 5225 3 14961 36

Test Tail: 5225 3 14961 9577

Test Head: 5260 3 1451 398

Test Tail: 5260 3 1451 361

Test Head: 5272 3 12029 75

Test Tail: 5272 3 12029 967

Test Head: 5363 3 6542 1939

Test Tail: 5363 3 6542 4081

Test Head: 5406 3 9480 1

Test Tail: 5406 3 9480 3

Test Head: 5453 3 9345 22

Test Tail: 5453 3 9345 98

Test Head: 5453 3 12124 8

Test Tail: 5453 3 12124 126

Test Head: 5453 3 12655 0

Test Tail: 5453 3 12655 0

Test Head: 5504 3 12806 77

Test Tail: 5504 3 12806 1849

Test Head: 5506 3 2871 42

Test Tail: 5506 3 2871 203

Test Head: 5508 3 12989 695

Test Tail: 5508 3 12989 1301

Test Head: 5537 3 7269 2929

Test Tail: 5537 3 7269 2445

Test Head: 5566 3 14592 2985

Test Tail: 5566 3 14592 13976

Test Head: 5618 3 4032 4

Test Tail: 5618 3 4032 19

Test Head: 5632 3 5633 0

Test Tail: 5632 3 5633 0

Test Head: 5637 3 13681 4117

Test Tail: 5637 3 13681 179

Test Head: 5641 3 13858 0

Test Tail: 5641 3 13858 0

Test Head: 5651 3 14310 1475

Test Tail: 5651 3 14310 8949

Test Head: 5654 3 9113 11

Test Tail: 5654 3 9113 236

Test Head: 5677 3 11270 6

Test Tail: 5677 3 11270 25

Test Head: 5760 3 6820 224

Test Tail: 5760 3 6820 701

Test Head: 5760 3 11054 222

Test Tail: 5760 3 11054 764

Test Head: 5767 3 6731 2007

Test Tail: 5767 3 6731 5534

Test Head: 5799 3 5642 0

Test Tail: 5799 3 5642 1

Test Head: 5799 3 7878 0

Test Tail: 5799 3 7878 2

Test Head: 5799 3 12665 1

Test Tail: 5799 3 12665 2

Test Head: 5799 3 14388 160

Test Tail: 5799 3 14388 13136

Test Head: 5804 3 2122 1

Test Tail: 5804 3 2122 0

Test Head: 5839 3 14289 0

Test Tail: 5839 3 14289 0

Test Head: 5972 3 14777 8834

Test Tail: 5972 3 14777 13701

Test Head: 5980 3 872 0

Test Tail: 5980 3 872 0

Test Head: 5991 3 10470 174

Test Tail: 5991 3 10470 134

Test Head: 5991 3 12074 26

Test Tail: 5991 3 12074 650

Test Head: 6036 3 12938 0

Test Tail: 6036 3 12938 0

Test Head: 6092 3 6093 0

Test Tail: 6092 3 6093 0

Test Head: 6170 3 9445 1

Test Tail: 6170 3 9445 0

Test Head: 6190 3 7397 1

Test Tail: 6190 3 7397 3

Test Head: 6190 3 14089 114

Test Tail: 6190 3 14089 43

Test Head: 6257 3 9906 0

Test Tail: 6257 3 9906 0

Test Head: 6267 3 13385 0

Test Tail: 6267 3 13385 0

Test Head: 6293 3 8225 739

Test Tail: 6293 3 8225 2280

Test Head: 6305 3 11068 36

Test Tail: 6305 3 11068 4707

Test Head: 6305 3 14909 65

Test Tail: 6305 3 14909 13134

Test Head: 6327 3 14833 297

Test Tail: 6327 3 14833 10937

Test Head: 6380 3 11390 82

Test Tail: 6380 3 11390 111

Test Head: 6380 3 11641 60

Test Tail: 6380 3 11641 2576

Test Head: 6385 3 2101 2

Test Tail: 6385 3 2101 8

Test Head: 6388 3 6389 0

Test Tail: 6388 3 6389 0

Test Head: 6405 3 5505 234

Test Tail: 6405 3 5505 4751

Test Head: 6405 3 7489 63

Test Tail: 6405 3 7489 2787

Test Head: 6455 3 11212 0

Test Tail: 6455 3 11212 2

Test Head: 6600 3 9481 0

